,source_url,events,events_diff,source_month_rank,year,month
0,21stcenturywire.com,414,,7,2017,1
1,21stcenturywire.com,552,138.0,1,2017,2
2,21stcenturywire.com,460,-92.0,4,2017,3
3,21stcenturywire.com,364,-96.0,12,2017,4
4,21stcenturywire.com,529,165.0,2,2017,5
5,21stcenturywire.com,370,-159.0,11,2017,6
6,21stcenturywire.com,343,-27.0,14,2017,7
7,21stcenturywire.com,288,-55.0,17,2017,8
8,21stcenturywire.com,380,92.0,9,2017,9
9,21stcenturywire.com,277,-103.0,18,2017,10
10,21stcenturywire.com,272,-5.0,20,2017,11
11,21stcenturywire.com,261,-11.0,22,2017,12
12,21stcenturywire.com,213,-48.0,27,2018,1
13,21stcenturywire.com,462,249.0,3,2018,2
14,21stcenturywire.com,244,-218.0,23,2018,3
15,21stcenturywire.com,117,-127.0,28,2018,4
16,21stcenturywire.com,275,158.0,19,2018,5
17,21stcenturywire.com,233,-42.0,25,2018,6
18,21stcenturywire.com,240,7.0,24,2018,7
19,21stcenturywire.com,450,210.0,6,2018,8
20,21stcenturywire.com,219,-231.0,26,2018,9
21,21stcenturywire.com,338,119.0,15,2018,10
22,21stcenturywire.com,316,-22.0,16,2018,11
23,21stcenturywire.com,399,83.0,8,2018,12
24,21stcenturywire.com,374,-25.0,10,2019,1
25,21stcenturywire.com,267,-107.0,21,2019,2
26,21stcenturywire.com,457,190.0,5,2019,3
27,21stcenturywire.com,362,-95.0,13,2019,4
28,Antioxidants.naturalnews.com,5,,1,2018,6
29,actualidad.rt.com,2,,1,2019,2
30,addictinginfo.org,557,,2,2017,1
31,addictinginfo.org,576,19.0,1,2017,2
32,addictinginfo.org,477,-99.0,3,2017,3
33,addictinginfo.org,207,-270.0,4,2017,4
34,af.sputniknews.com,3,,1,2017,8
35,amp.dailycaller.com,20,,1,2018,11
36,author.addictinginfo.org,8,,1,2017,5
37,award.rt.com,1,,1,2018,5
38,award.rt.com,1,0.0,1,2018,6
39,bipartisanreport.com,366,,3,2017,1
40,bipartisanreport.com,525,159.0,1,2017,2
41,bipartisanreport.com,515,-10.0,2,2017,3
42,bipartisanreport.com,143,-372.0,4,2017,4
43,bipartisanreport.com,24,-119.0,13,2017,5
44,bipartisanreport.com,114,90.0,5,2017,6
45,bipartisanreport.com,13,-101.0,16,2017,7
46,bipartisanreport.com,58,45.0,6,2017,8
47,bipartisanreport.com,27,-31.0,10,2017,9
48,bipartisanreport.com,8,-19.0,17,2017,10
49,bipartisanreport.com,26,18.0,11,2017,11
50,bipartisanreport.com,17,-9.0,15,2017,12
51,bipartisanreport.com,57,40.0,7,2018,1
52,bipartisanreport.com,26,-31.0,11,2018,4
53,bipartisanreport.com,8,-18.0,17,2018,5
54,bipartisanreport.com,51,43.0,8,2018,6
55,bipartisanreport.com,19,-32.0,14,2018,7
56,bipartisanreport.com,33,14.0,9,2018,8
57,blogs.naturalnews.com,1,,2,2017,1
58,blogs.naturalnews.com,3,2.0,1,2017,2
59,cdn.dailycaller.com,19,,1,2018,9
60,cdn.dailycaller.com,2,-17.0,5,2018,10
61,cdn.dailycaller.com,14,12.0,2,2018,11
62,cdn.dailycaller.com,4,-10.0,4,2019,1
63,cdn.dailycaller.com,10,6.0,3,2019,2
64,cdn.dailycaller.com,1,-9.0,6,2019,3
65,consciouslifenews.com,6,,1,2018,8
66,consciouslifenews.com,5,-1.0,2,2018,9
67,countdowntozerotime.com,1,,2,2017,1
68,countdowntozerotime.com,3,2.0,1,2017,3
69,dailycaller.com,3037,,22,2017,1
70,dailycaller.com,3157,120.0,21,2017,2
71,dailycaller.com,3164,7.0,20,2017,3
72,dailycaller.com,2333,-831.0,23,2017,4
73,dailycaller.com,316,-2017.0,27,2017,5
74,dailycaller.com,380,64.0,26,2017,6
75,dailycaller.com,231,-149.0,28,2017,7
76,dailycaller.com,396,165.0,25,2017,8
77,dailycaller.com,4635,4239.0,18,2017,9
78,dailycaller.com,5142,507.0,14,2017,10
79,dailycaller.com,5376,234.0,13,2017,11
80,dailycaller.com,5104,-272.0,15,2017,12
81,dailycaller.com,6147,1043.0,8,2018,1
82,dailycaller.com,6095,-52.0,9,2018,2
83,dailycaller.com,6210,115.0,7,2018,3
84,dailycaller.com,5042,-1168.0,16,2018,4
85,dailycaller.com,5441,399.0,12,2018,5
86,dailycaller.com,4313,-1128.0,19,2018,6
87,dailycaller.com,6221,1908.0,6,2018,7
88,dailycaller.com,6828,607.0,4,2018,8
89,dailycaller.com,5566,-1262.0,11,2018,9
90,dailycaller.com,7851,2285.0,1,2018,10
91,dailycaller.com,7189,-662.0,3,2018,11
92,dailycaller.com,6747,-442.0,5,2018,12
93,dailycaller.com,7346,599.0,2,2019,1
94,dailycaller.com,6008,-1338.0,10,2019,2
95,dailycaller.com,4961,-1047.0,17,2019,3
